"En el contexto de la batalla por la relevancia, ¿por qué un usuario puede preferir la web móvil de un servicio a instalar su app?";"Para ahorrarse los datos de la descarga y el espacio que ocupa";"Porque la web accede mejor a la cámara y a los sensores";"Porque la web sigue funcionando mejor cuando no hay conexión";"Porque la web recibe antes las novedades del sistema operativo"
"Un equipo trabaja en sprints de dos semanas, pero divide cada funcionalidad en tres tareas (la pantalla, el endpoint y los tests) que solo encajan el último viernes. Nadie de fuera le impone fases. ¿Qué le ocurre y cómo se arregla?";"Mini-waterfall; se arregla dentro del equipo con historias verticales";"Scrummerfall; se arregla negociando las fases con la organización";"Scrumban; se arregla poniendo un límite de WIP a cada columna";"SAFe; se arregla planificando un Program Increment más corto"
"Un equipo dice trabajar con Kanban. Tiene un tablero con columnas, pero cada persona empieza tareas nuevas cuando quiere y casi nada llega a terminarse. Según los apuntes, ¿qué le falta?";"Un límite de WIP por columna";"Sprints de duración fija";"Una daily con Scrum Master";"Un análisis cerrado al inicio"
"En una oferta de empleo de una gran consultora aparecen los términos Agile Release Train y PI Planning. ¿A qué marco pertenecen?";"SAFe";"Scrumban";"Scrummerfall";"Kanban"
"Un viernes se descubre un fallo grave en producción. ¿Qué diferencia hay entre corregirlo en una web y en una app publicada en Google Play?";"En la app, el arreglo pasa por la revisión de la tienda";"En la web, el arreglo espera a que cada usuario actualice";"En la app, el arreglo llega a todos en cuanto se publica";"En la web, el arreglo pasa por la revisión del navegador"
"Vais a cambiar el formato de las respuestas de la API que usa vuestra app móvil. ¿Qué tenéis que tener en cuenta?";"Seguirá habiendo usuarios con versiones antiguas usando esa API";"Google Play actualiza a la vez a todos los usuarios al publicar";"La revisión de la tienda comprobará que la API sea compatible";"Basta con cambiar la API el mismo día que sale la versión nueva"
"Vais a publicar vuestra primera app en Google Play con una cuenta personal. ¿Qué os exigirá Google antes de poder solicitar el acceso a producción?";"Pruebas cerradas con probadores reales durante varios días";"Un .apk firmado distinto para cada arquitectura de procesador";"Una revisión del código fuente por parte de un equipo de Google";"Una versión web de la app para comprobar que funciona"
"¿Por qué a Google Play se sube un .aab en lugar de un .apk?";"Play fabrica con él el .apk que necesita cada dispositivo";"El .aab se instala directamente y ocupa menos que un .apk";"El .aab ofusca el código e impide que se pueda descompilar";"El .apk solo sirve para emuladores y no para móviles reales"
"Una app guarda dentro de su código la clave privada de una API de pagos, ofuscada con R8. ¿Qué dicen los apuntes sobre esto?";"Es un error: la clave se puede extraer y debe vivir en el servidor";"Es correcto: R8 ofusca el código y eso impide extraer la clave";"Es correcto si la app pide sus permisos en tiempo de ejecución";"Es un error, pero se soluciona cifrando la clave dentro de la app"
"¿Qué afirmación sobre los permisos en Android es correcta?";"Una app puede enviar datos a Internet sin preguntar al usuario";"El acceso a Internet se pide al usuario igual que el de la cámara";"Todos los permisos se conceden al instalar y no pueden revocarse";"El sandbox impide que una app envíe datos fuera del dispositivo"
"React Native y Flutter comparten casi todo el código entre Android e iOS. Según las dos preguntas que clasifican cualquier tecnología móvil, ¿en qué se diferencian?";"En quién dibuja la interfaz: componentes nativos frente a motor propio";"En cuánto código comparten: React Native solo comparte la lógica";"En quién dibuja la interfaz: un WebView frente al toolkit del sistema";"En cuánto código comparten: Flutter necesita una base por plataforma"
"¿Qué significa que Jetpack Compose y SwiftUI sean toolkits declarativos?";"Se describe la interfaz para cada estado y el framework la actualiza";"Se modifica la pantalla paso a paso cada vez que cambia un dato";"Se define la interfaz en XML y el código la manipula después";"Se escribe la interfaz una vez y funciona igual en Android e iOS"
"Una PWA se abre y funciona aunque el dispositivo no tenga conexión. ¿Qué pieza lo hace posible?";"Un service worker que responde con copias guardadas en caché";"El Web App Manifest, que descarga la app entera al dispositivo";"La Trusted Web Activity, que la convierte en una app Android";"El navegador, que guarda sin conexión todas las webs visitadas"
"¿Qué obtiene una web gracias al Web App Manifest?";"Su propio icono y abrirse en una ventana independiente";"Funcionar sin conexión guardando sus ficheros en caché";"Recibir notificaciones push aunque la web esté cerrada";"Acceso completo a los sensores y al hardware del móvil"
"Una empresa tiene una PWA que funciona bien y quiere aparecer también en Google Play sin reescribirla. ¿Qué opción describen los apuntes?";"Empaquetarla con una Trusted Web Activity";"Rehacerla con Kotlin Multiplatform";"Registrar su service worker en Play Console";"Subir su Web App Manifest en lugar del .aab"
"Una app hecha con Ionic + Capacitor necesita también una versión de escritorio. Según los apuntes, ¿cómo se puede conseguir?";"Empaquetando la web con Electron";"Añadiendo la plataforma oficial de escritorio de Capacitor";"Generando una Trusted Web Activity para Windows";"Compilando el proyecto web con Flutter"
"Según los ejemplos de los apuntes, ¿qué es la aplicación de ChatGPT instalada desde la tienda de Windows?";"Una web empaquetada con Electron";"Una PWA instalada desde el navegador";"Una app nativa de Windows en C#";"Una Trusted Web Activity para Windows"
"Una startup va a vender su app únicamente en Estados Unidos y solo tiene presupuesto para desarrollar en una plataforma nativa. ¿Por cuál debería empezar?";"iOS, porque en Estados Unidos va por delante de Android";"Android, porque tiene cerca del 68 % de la cuota mundial";"Android, porque Android Studio funciona en cualquier sistema";"iOS, porque SwiftUI permite publicar también en Android"
"Hoy empezáis una app Android nueva desde cero. ¿Qué stack recomiendan los apuntes?";"Kotlin y Jetpack Compose en Android Studio";"Java y Views con XML en Android Studio";"Kotlin y Views con XML en Android Studio";"Java y Jetpack Compose en Android Studio"
"Heredáis una app Android grande escrita en Java con Views y XML, que funciona bien en producción. Un compañero propone reescribirla entera porque Java está muerto. Según los apuntes, ¿qué es más acertado?";"No hace falta: Java sigue soportado e interopera con Kotlin";"Hay que reescribirla, porque Android ya no soporta Java";"Hay que pasarla a Flutter, porque las Views ya no funcionan";"Hay que convertirla en PWA, que es la vía sin reescribir"
"Un alumno solo tiene un portátil con Windows y quiere hacer una app nativa para iPhone con SwiftUI. ¿Qué problema tendrá?";"Necesita un Mac, porque se desarrolla con Xcode";"Necesita un iPhone, porque no existe simulador";"Necesita una licencia de Swift para Windows";"Necesita Android Studio con el plugin de iOS"
"Un hotel quiere que su plantilla (recepción, limpieza, cocina) avise de equipos averiados indicando planta, habitación, descripción y urgencia. Cada empleado usará su móvil personal: hay Android e iPhone de todo tipo. La dirección quiere que lo tengan con su icono en el móvil, pero no quiere depender de tiendas de aplicaciones ni de sus revisiones. ¿Qué es lo mejor?";"Una PWA";"Una app nativa Android en Kotlin";"Una app Flutter en las dos tiendas";"Ionic + Capacitor en las dos tiendas"
"Una empresa de mantenimiento industrial da a sus técnicos móviles corporativos, todos Android. La app debe leer las etiquetas NFC de cada máquina y funcionar durante horas en sótanos sin cobertura. No se usará en otros dispositivos y el equipo de desarrollo programa en Kotlin. ¿Qué es lo mejor?";"Una app nativa Android";"Una PWA con service worker";"Flutter, por si llegan iPhones";"Ionic + Capacitor con plugin NFC"
"Una cadena de supermercados ya tiene una web de gestión de incidencias hecha en Angular, mantenida por su equipo web. Ahora quiere que sus encargados la tengan como app en Google Play y en la App Store, con notificaciones y la cámara para fotografiar las averías. ¿Qué es lo mejor?";"Ionic + Capacitor reaprovechando la web";"React Native reescribiendo la interfaz";"Dos apps nativas en Kotlin y Swift";"Una PWA instalable desde el navegador"
"Un estudio de cuatro personas prepara un juego de carreras en 3D para Android e iOS, y quiere llevarlo más adelante a PC. Necesita el mejor rendimiento gráfico posible. ¿Qué es lo mejor?";"Un motor de juegos como Unity o Godot";"Nativo en Kotlin y Swift, por rendimiento";"Flutter, que tiene su propio motor gráfico";"Compose Multiplatform, que llega a escritorio"
"Una editorial de cocina lanza una app de recetas para Android e iOS. No tiene una web conocida y quiere que la encuentre quien busque recetas en las tiendas. La marca exige un diseño muy personalizado e idéntico en ambos sistemas, y sus dos desarrolladores ya han publicado apps en Flutter. ¿Qué es lo mejor?";"Flutter";"Una PWA";"React Native";"Dos apps nativas"
"Un banco tiene su app Android en Kotlin y su app iOS en Swift, cada una con un equipo veterano. Las reglas de validación de operaciones están escritas dos veces y a menudo no coinciden. Quiere que cada app mantenga su interfaz nativa. ¿Qué es lo mejor?";"KMP compartiendo la lógica";"Compose Multiplatform para toda la app";"Reescribir las dos apps en Flutter";"Ionic + Capacitor sobre la web del banco"
"Una aseguradora tiene todo su software interno en C# y .NET, y su equipo solo conoce ese ecosistema. Necesita una app para Android, iOS y Windows. ¿Qué es lo mejor?";".NET MAUI";"Flutter";"Kotlin Multiplatform";"React Native"
"Un ayuntamiento quiere publicar la agenda cultural de la ciudad: eventos, horarios y lugares. Quiere llegar a cualquier vecino que la encuentre desde Google, sin que tenga que instalar nada, con un presupuesto mínimo y sin mantener apps en tiendas. ¿Qué es lo mejor?";"Una web responsive";"Una PWA publicada en Play con TWA";"Una app Flutter en las dos tiendas";"Una app nativa para cada plataforma"
"Una startup con cinco desarrolladores expertos en React y TypeScript debe lanzar en tres meses un marketplace para Android e iOS, sin requisitos especiales de hardware. Su CTO propone aprender Kotlin y Swift porque lo nativo es mejor. ¿Qué es lo mejor?";"React Native";"Nativo en Kotlin y Swift";"Flutter";"Kotlin Multiplatform"
